group,label,trades,retention,median_return_60d,median_excess_60d,win_excess_60d,right_tail_50pct_60d,right_tail_100pct_60d,bad_loss_minus20pct_60d,pf_excess_60d,median_ret20,median_ret60_signal,median_top1_top3,median_top1_top5,median_top1_top10,median_days_since_max_volume,median_range_pos,median_avg_amount_20d
baseline,adj: baseline,28,1.0,0.207499888855676,0.02516896465925235,0.5357142857142857,0.25,0.14285714285714285,0.14285714285714285,2.8258529469193996,0.2492633556722606,0.5990854693830189,1.2258176793422444,1.4411484514914992,2.083369583686207,49.0,1.0,580554834.4
top10_gap,adj: top1/top10 < 2,13,0.4642857142857143,0.4428044287640089,0.4267191606423355,0.6153846153846154,0.46153846153846156,0.23076923076923078,0.15384615384615385,5.11166796089835,0.2413793103448276,0.3950947972430616,1.158809394854244,1.3701143500891677,1.7490806795181717,47.0,1.0,1438528031.95
top10_gap_flagged,adj: flagged top1/top10 >= 2,15,0.5357142857142857,0.0876350540216086,-0.0308603114082509,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,1.1338659036529963,0.2734530940289956,0.6581709387660377,1.359519734432806,1.632284967859289,2.2541886558909963,52.0,1.0,381674258.95
top3_ok,adj: flagged + top3<1.5,12,0.42857142857142855,0.020394458275801,-0.10053653488123075,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.9538488548621478,0.2883141770449984,0.6661408880067359,1.3001556283093485,1.5743263646151262,2.236319073545978,49.5,1.0,404226973.35
top5_ok,adj: flagged + top5<2,15,0.5357142857142857,0.0876350540216086,-0.0308603114082509,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,1.1338659036529963,0.2734530940289956,0.6581709387660377,1.359519734432806,1.632284967859289,2.2541886558909963,52.0,1.0,381674258.95
ret20_cool,adj: flagged + ret20<25%,6,0.21428571428571427,0.1574032159104271,0.05956186051235225,0.6666666666666666,0.0,0.0,0.16666666666666666,1.352479804889285,0.16732981098420513,0.48250024575325223,1.5096658841225024,1.7637566595545313,2.4725907587260347,93.5,1.0,292636470.375
ret60_not_hot,adj: flagged + ret60<=80%,11,0.39285714285714285,0.1321695760598504,0.018823370871277,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.09090909090909091,2.683743578774874,0.260368670738238,0.472409126074063,1.3823716052571504,1.703564413698234,2.2541886558909963,91.0,1.0,381674258.95
not_high_range,adj: flagged + range_pos<80%,0,0.0,,,,,,,,,,,,,,,
mid_volume_age,adj: flagged + maxVol 20-90d,9,0.32142857142857145,0.0876350540216086,-0.0308603114082509,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.420544373997231,0.2988505763122191,0.7789729481442353,1.310406141610282,1.5915818554629662,2.294128580652656,42.0,1.0,426779687.75
liquid,adj: flagged + amount>=10億,3,0.10714285714285714,0.1321695760598504,0.0315145584472277,0.6666666666666666,0.0,0.0,0.0,1.7009208764072592,0.2988505763122191,0.408099691352239,1.4319719669356168,1.703564413698234,2.0979134450245644,63.0,1.0,2192265214.0
rescue_combo,adj: rescue candidate top10<2.2 + top3<1.5 + ret60<=80%,4,0.14285714285714285,0.25840700057864896,0.15612246079246625,0.5,0.25,0.25,0.0,6.5033367666951705,0.3456278198016792,0.5495556643769692,1.360938540972016,1.5388179447056771,2.098497389299617,79.5,1.0,379751915.125
danger_combo,adj: danger candidate top10>=2.5 or ret60>80%,5,0.17857142857142858,-0.1883495145631069,-0.2503535505111134,0.2,0.0,0.0,0.4,0.13820471090439618,0.3074935400516796,0.8333333333333333,1.27327232069968,1.471596275965375,3.2451618159978763,46.0,1.0,142305600.45
baseline,raw: baseline,34,1.0,0.2158752343674844,0.10944659031411355,0.5882352941176471,0.23529411764705882,0.08823529411764706,0.14705882352941177,3.0384280476581904,0.2446333171442447,0.5888585607940447,1.1923594708257708,1.4108130295277426,2.0253915715382855,49.0,1.0,580554834.4
top10_gap,raw: top1/top10 < 2,17,0.5,0.4285714285714286,0.4210118641168565,0.7058823529411765,0.4117647058823529,0.17647058823529413,0.11764705882352941,6.1938052154383385,0.2231012658227849,0.3657243816254416,1.174715866431836,1.3606915639079125,1.7490806795181717,51.0,1.0,1438528031.95
top10_gap_flagged,raw: flagged top1/top10 >= 2,17,0.5,0.0876350540216086,-0.0547994612261181,0.47058823529411764,0.058823529411764705,0.0,0.17647058823529413,1.0129293543490188,0.2638580931263858,0.6377171215880895,1.310406141610282,1.5915818554629662,2.2541886558909963,47.0,1.0,381674258.95
top3_ok,raw: flagged + top3<1.5,14,0.4117647058823529,0.0203944577972572,-0.10053653381157565,0.35714285714285715,0.07142857142857142,0.0,0.21428571428571427,0.8568166044256235,0.2756154357950764,0.647944018065409,1.2815887178540475,1.5484596763830676,2.236319073545978,46.5,1.0,404226973.35
top5_ok,raw: flagged + top5<2,17,0.5,0.0876350540216086,-0.0547994612261181,0.47058823529411764,0.058823529411764705,0.0,0.17647058823529413,1.0129293543490188,0.2638580931263858,0.6377171215880895,1.310406141610282,1.5915818554629662,2.2541886558909963,47.0,1.0,381674258.95
ret20_cool,raw: flagged + ret20<25%,7,0.20588235294117646,0.1463109629012089,0.0876091625774768,0.7142857142857143,0.0,0.0,0.14285714285714285,1.4811536308694084,0.1794871794871795,0.3990610328638497,1.453624932659664,1.738702374038354,2.4940740679330844,91.0,1.0,282058960.35
ret60_not_hot,raw: flagged + ret60<=80%,12,0.35294117647058826,0.13924026948052964,0.02516896465925235,0.5833333333333334,0.08333333333333333,0.0,0.08333333333333333,2.483145729446746,0.2468891372892259,0.44025442027982875,1.3709456698449782,1.6679246907787615,2.274158618271826,77.0,1.0,378907042.0
not_high_range,raw: flagged + range_pos<80%,0,0.0,,,,,,,,,,,,,,,
mid_volume_age,raw: flagged + maxVol 20-90d,11,0.3235294117647059,0.0876350540216086,-0.0547994612261181,0.45454545454545453,0.09090909090909091,0.0,0.18181818181818182,1.255964852874156,0.2734530938123751,0.7488372093023257,1.289905115008415,1.5398484789988487,2.294128580652656,37.0,1.0,426779687.75
liquid,raw: flagged + amount>=10億,4,0.11764705882352941,0.1099023150407295,-0.0689997559395839,0.5,0.0,0.0,0.25,0.9831800255380273,0.28135433391951475,0.6274031376499337,1.3526221438176484,1.6217064463485413,2.0955205022028895,52.5,1.0,2194799666.975
rescue_combo,raw: rescue candidate top10<2.2 + top3<1.5 + ret60<=80%,4,0.11764705882352941,0.2518939393939393,0.1496093996077566,0.5,0.25,0.0,0.0,6.218006991782866,0.3456278190018915,0.5229084050308048,1.360938540972016,1.5388179447056771,2.098497389299617,79.5,1.0,379751915.125
danger_combo,raw: danger candidate top10>=2.5 or ret60>80%,7,0.20588235294117646,-0.1883495145631069,-0.2503535505111134,0.2857142857142857,0.0,0.0,0.42857142857142855,0.2211796530168093,0.2638580931263858,0.8333333333333333,1.158196754151828,1.471596275965375,2.843815057639126,42.0,1.0,142305600.45
