layer,source_family,signal,price_mode,year,scope,source_file,signals,n20,avg20,median20,win20,n20_excess,avg20_excess,median20_excess,win20_excess,n60,avg60,median60,win60,n60_excess,avg60_excess,median60_excess,win60_excess,notes
strict_candidate,round8_tradeability,candidate_a_repo50_c440_c5gt5,raw,ALL,all_period_candidate_summary,magic26_round8_tradeability_summary_20210101_20260701.csv,48,48,0.20881695600174355,0.1694317037935552,0.7083333333333334,48,0.1665559510993383,0.11421754934251345,0.6875,,,,,,,,,strict dashboard candidate family; next-open 20D tradeability summary; not yearly
strict_candidate,round8_tradeability,candidate_b_magic_c440_c5gt5,raw,ALL,all_period_candidate_summary,magic26_round8_tradeability_summary_20210101_20260701.csv,68,68,0.1530610640977912,0.11899721323265022,0.6470588235294118,68,0.1162469464474394,0.07627661020027315,0.6029411764705882,,,,,,,,,strict dashboard candidate family; next-open 20D tradeability summary; not yearly
strict_candidate,round8_tradeability,candidate_c_high_concentration_c425_c5gt5,raw,ALL,all_period_candidate_summary,magic26_round8_tradeability_summary_20210101_20260701.csv,38,38,0.17127768240829236,0.1491661290603804,0.6578947368421053,38,0.12526364620041808,0.061396070871456446,0.631578947368421,,,,,,,,,strict dashboard candidate family; next-open 20D tradeability summary; not yearly
strict_candidate,round8_tradeability,candidate_a_repo50_c440_c5gt5,adj,ALL,all_period_candidate_summary,magic26_round8_tradeability_summary_20210101_20260701.csv,43,43,0.21208142269901878,0.14471780070914075,0.6744186046511628,43,0.1597482444232622,0.0886193862734387,0.627906976744186,,,,,,,,,strict dashboard candidate family; next-open 20D tradeability summary; not yearly
strict_candidate,round8_tradeability,candidate_b_magic_c440_c5gt5,adj,ALL,all_period_candidate_summary,magic26_round8_tradeability_summary_20210101_20260701.csv,65,65,0.1533249723962459,0.09226932668329169,0.6307692307692307,65,0.11062812043889564,0.0639338341271076,0.5692307692307692,,,,,,,,,strict dashboard candidate family; next-open 20D tradeability summary; not yearly
strict_candidate,round8_tradeability,candidate_c_high_concentration_c425_c5gt5,adj,ALL,all_period_candidate_summary,magic26_round8_tradeability_summary_20210101_20260701.csv,37,37,0.17643794326367185,0.14471780070914075,0.6486486486486487,37,0.12609768453774395,0.0639338341271076,0.6216216216216216,,,,,,,,,strict dashboard candidate family; next-open 20D tradeability summary; not yearly
core_family,round7_param_grid_yearly,core_repo40_regime,raw,2021,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,raw,2022,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,raw,2023,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,29,28,0.09499169287085325,0.04459226148181355,0.5357142857142857,,,,,28,0.1690914004420079,0.10315417991732864,0.5714285714285714,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,raw,2024,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,10,10,0.0055216164864118735,-0.07623423497900325,0.2,,,,,10,-0.050535810477990474,-0.1222533268679219,0.2,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,raw,2025,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,20,20,0.10384633969291975,0.0672231737772804,0.55,,,,,20,0.12343734581959524,-0.03164195686285115,0.5,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,raw,2026,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,60,48,0.08584737026164913,0.08170451175857224,0.5625,,,,,20,0.15553734327153768,0.1021625134030694,0.6,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,raw,2021,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,raw,2022,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,raw,2023,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,21,20,0.1169458791463536,0.0605362394386068,0.6,,,,,20,0.1726186377475988,0.15386603942720772,0.6,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,raw,2024,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,7,7,0.016660267011483963,-0.0925461711839033,0.14285714285714285,,,,,7,-0.057753238831538094,-0.1255056866275644,0.14285714285714285,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,raw,2025,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,16,16,0.09692306041081918,0.0672231737772804,0.5625,,,,,16,0.11130794974498555,-0.03164195686285115,0.5,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,raw,2026,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,49,38,0.10032046175673012,0.101986635249721,0.6052631578947368,,,,,15,0.25220501631450803,0.188294100784651,0.6666666666666666,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2021,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2022,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2023,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,17,16,0.1353399621450995,0.0605362394386068,0.625,,,,,16,0.1607787145429947,0.1382629610050117,0.5625,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2024,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,5,5,0.07735314150464445,-0.078263568350498,0.2,,,,,5,-0.04243318258085649,-0.2945898138895716,0.2,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2025,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,12,12,0.10573613396416111,0.0304082345754672,0.5,,,,,12,0.05350074069568872,-0.12401491491377435,0.3333333333333333,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,raw,2026,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,29,22,0.13549836578325827,0.10366378751326599,0.6818181818181818,,,,,10,0.20662318172620756,0.28466984561465464,0.6,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2021,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2022,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2023,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,25,24,0.05533624626813188,-0.02292554863137005,0.375,,,,,24,0.18392793636003782,0.0461502722392194,0.5416666666666666,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2024,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,11,11,0.016431768208505313,-0.0742048947186363,0.2727272727272727,,,,,11,-0.04797174776363105,-0.1190009692475896,0.18181818181818182,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2025,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,21,21,0.09842010200138016,0.0458269612811221,0.5238095238095238,,,,,21,0.11038823054505009,-0.0820721005148719,0.47619047619047616,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo40_regime,adj,2026,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,63,49,0.08619213532684798,0.0639338341271076,0.5510204081632653,,,,,20,0.15902457020654662,0.1021625188806733,0.6,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,adj,2021,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,adj,2022,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,adj,2023,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,16,15,0.0697336391305785,-0.0235107137690735,0.4,,,,,15,0.198704004433937,0.1624901748951423,0.5333333333333333,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,adj,2024,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,7,7,0.017338954104229826,-0.092546173602254,0.14285714285714285,,,,,7,-0.05020992244977708,-0.1217289302371632,0.14285714285714285,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,adj,2025,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,17,17,0.09062731228112213,0.0458269612811221,0.5294117647058824,,,,,17,0.09510755134626006,-0.0820721005148719,0.47058823529411764,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo50_regime,adj,2026,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,51,39,0.10038252319184074,0.0994751893900369,0.5897435897435898,,,,,15,0.25685465149750597,0.1930383900696857,0.6666666666666666,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,adj,2021,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,adj,2022,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,0,0,,,,,,,,0,,,,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,adj,2023,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,13,12,0.08677067355016287,-0.06662035944647195,0.4166666666666667,,,,,12,0.19007330071920536,0.0797322693451404,0.5,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,adj,2024,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,5,5,0.07830330990701348,-0.078263568350498,0.2,,,,,5,-0.03187253421030552,-0.2899093539348322,0.2,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,adj,2025,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,13,13,0.09682530353781095,-0.0101046590709319,0.46153846153846156,,,,,13,0.035760303303499816,-0.1567191359211019,0.3076923076923077,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_yearly,core_repo60_regime,adj,2026,yearly,magic26_round7_param_grid_yearly_20210101_20260701.csv,30,22,0.1443865132415556,0.12313501717165934,0.6818181818181818,,,,,10,0.21052786616411773,0.28704199025717203,0.6,,,,,same-source broader core family; yearly rows; raw/adj separated
core_family,round7_param_grid_summary,core_repo40_regime,raw,ALL,all_period,magic26_round7_param_grid_summary_20210101_20260701.csv,119,106,0.08408098237420342,0.03268467553793,0.5188679245283019,,,,,78,0.12575249858229456,0.018805778830223302,0.5128205128205128,,,,,same-source broader core family; all-period summary; raw/adj separated
core_family,round7_param_grid_summary,core_repo50_regime,raw,ALL,all_period,magic26_round7_param_grid_summary_20210101_20260701.csv,93,81,0.09652451809057175,0.0588583076158053,0.5555555555555556,,,,,58,0.14848452627187242,0.02516896465925235,0.5344827586206896,,,,,same-source broader core family; all-period summary; raw/adj separated
core_family,round7_param_grid_summary,core_repo60_regime,raw,ALL,all_period,magic26_round7_param_grid_summary_20210101_20260701.csv,63,55,0.12367277739357145,0.0622141712614083,0.5818181818181818,,,,,43,0.11787288896265054,-0.0820721005148719,0.46511627906976744,,,,,same-source broader core family; all-period summary; raw/adj separated
core_family,round7_param_grid_summary,core_repo40_regime,adj,ALL,all_period,magic26_round7_param_grid_summary_20210101_20260701.csv,120,105,0.07427672508355483,-0.0101046590709319,0.47619047619047616,,,,,76,0.12348980911602571,-0.01215700489594325,0.4868421052631579,,,,,same-source broader core family; all-period summary; raw/adj separated
core_family,round7_param_grid_summary,core_repo50_regime,adj,ALL,all_period,magic26_round7_param_grid_summary_20210101_20260701.csv,91,78,0.08490974331986091,0.00794638658557295,0.5,,,,,54,0.1499766436057339,0.00627306869099095,0.5,,,,,same-source broader core family; all-period summary; raw/adj separated
core_family,round7_param_grid_summary,core_repo60_regime,adj,ALL,all_period,magic26_round7_param_grid_summary_20210101_20260701.csv,61,52,0.11284609364313052,0.02749906493108025,0.5192307692307693,,,,,40,0.11729198855414029,-0.10651981368415911,0.425,,,,,same-source broader core family; all-period summary; raw/adj separated
regime_family,round4_regime_summary,c1_c2,raw,ALL,all_period,magic26_round4_summary_round6_regime_all_liquid30000000_raw_20210101_20260701.csv,386,369,0.0677451759510632,0.015075376884422,0.5365853658536586,369,0.04148962655969631,-0.009629122941929899,0.4823848238482385,323,0.15685187838807588,0.0480769230769231,0.5789473684210527,323,0.08467501686102095,-0.0039591415251372854,0.4953560371517028,"broad regime family; all-period only; use as validation layer, not mixed with strict family"
regime_family,round4_regime_summary,c1_c2_c3_xq,raw,ALL,all_period,magic26_round4_summary_round6_regime_all_liquid30000000_raw_20210101_20260701.csv,209,195,0.08094628694224903,0.0317002881844379,0.5384615384615384,195,0.050733914398644706,-0.007197429193448256,0.47692307692307695,160,0.1934385718323913,0.06748805076916894,0.58125,160,0.11093425872499715,-0.01752777217789719,0.49375,"broad regime family; all-period only; use as validation layer, not mixed with strict family"
regime_family,round4_regime_summary,magic26_v0,raw,ALL,all_period,magic26_round4_summary_round6_regime_all_liquid30000000_raw_20210101_20260701.csv,89,87,0.11726197201678605,0.0663716814159292,0.5862068965517241,87,0.08762479228317616,0.04257710732710854,0.5632183908045977,68,0.17117660481933647,0.11507069884512885,0.5294117647058824,68,0.10085162622170626,-0.024342203081319538,0.4852941176470588,"broad regime family; all-period only; use as validation layer, not mixed with strict family"
regime_family,round4_regime_summary,magic26_v0_quality,raw,ALL,all_period,magic26_round4_summary_round6_regime_all_liquid30000000_raw_20210101_20260701.csv,76,74,0.10248164949452129,0.048089591567852405,0.5540540540540541,74,0.07134898644663491,0.00948570686571466,0.527027027027027,57,0.17169986091920708,0.0047021943573668,0.5087719298245614,57,0.08667134584549548,-0.08214888892229233,0.45614035087719296,"broad regime family; all-period only; use as validation layer, not mixed with strict family"
regime_family,round4_regime_summary,c1_c2,adj,ALL,all_period,magic26_round4_summary_round6_regime_all_liquid30000000_adj_20210101_20260701.csv,450,427,0.06729345537053143,0.0160771688493943,0.5480093676814989,427,0.040934245522915344,-0.0016760439457115459,0.49414519906323184,381,0.14223158123883706,0.0395341175761694,0.5826771653543307,381,0.07168423933192065,-0.016263392184200618,0.47244094488188976,"broad regime family; all-period only; use as validation layer, not mixed with strict family"
regime_family,round4_regime_summary,c1_c2_c3_xq,adj,ALL,all_period,magic26_round4_summary_round6_regime_all_liquid30000000_adj_20210101_20260701.csv,222,205,0.08734762445169374,0.0179372221762563,0.5365853658536586,205,0.05524794034293469,-0.004886073091458609,0.48292682926829267,169,0.19882846817642144,0.0605095541401274,0.5621301775147929,169,0.1156142117734856,-0.02401339624735352,0.47928994082840237,"broad regime family; all-period only; use as validation layer, not mixed with strict family"
regime_family,round4_regime_summary,magic26_v0,adj,ALL,all_period,magic26_round4_summary_round6_regime_all_liquid30000000_adj_20210101_20260701.csv,92,89,0.11483695626072019,0.061151058683275,0.5730337078651685,89,0.08052904225704685,0.023088462953606947,0.5617977528089888,68,0.15123011797556507,-0.0128707680681759,0.4852941176470588,68,0.08047919284350269,-0.05062480421103266,0.4411764705882353,"broad regime family; all-period only; use as validation layer, not mixed with strict family"
regime_family,round4_regime_summary,magic26_v0_quality,adj,ALL,all_period,magic26_round4_summary_round6_regime_all_liquid30000000_adj_20210101_20260701.csv,81,79,0.11342053032293332,0.061151058683275,0.569620253164557,79,0.07732788979421068,0.018264236778701953,0.5569620253164557,60,0.1700621944453438,-0.00323104022499935,0.5,60,0.08980695690371394,-0.05062480421103266,0.45,"broad regime family; all-period only; use as validation layer, not mixed with strict family"
